search_criteria,job_title,company_name,experience,salary,location,experience_description,skills_required,days_posted
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a technical hands-on management position primarily responsible f...,"Business services,Simulation,Coding,Enterprise architecture,Agile,Application development,Risk management,Project delivery",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role You will work as part of the Middleware /Webservices team to support the...,"Automation,Web services,Project management,Agile,Scrum,Risk management,JIRA,Middleware",30+ Days Ago
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad"," About the Role This is a technical hands-on front line management position, primarily r...","Business services,Simulation,Coding,Agile,Manager Technology,Application development,Project delivery,Stakeholder management",30+ Days Ago
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,8-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role you will work to Operational Applications team in Enterprise Contact Cen...,"Computer science,Business services,Linux,Enterprise architecture,MIS,Windows,Risk management,Middleware",30+ Days Ago
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a technical hands - on management position primarily responsible...,"Business services,Simulation,Coding,Enterprise architecture,Agile,Application development,Risk management,Project delivery",30+ Days Ago
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," About the Role As part of Wells Fargo Technology team, this is a management position re...","Automation,Coding,Enterprise architecture,Agile,Application development,Agile methodology,Risk management,Project delivery",PREMIUM
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, Department Overview Wells Fargo s Risk and Finance CIO organization provides technology...,"Application support,SSRS,Agile,Application development,MVC,SSIS,Business intelligence,Information technology",PREMIUM
Information Technology,Sales and Business Development  -  Internship,TOOURS COM,0-3 Yrs,Not disclosed,Hyderabad," Job Summary At toours.com, we are revolutionizing our industry by helping tour operator...","Business administration,Economics,PDF,Networking,Workflow,HTML,After sales support,B2B Sales",30+ Days Ago
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a technical hands-on management position primarily responsible f...,"jQuery,Coding,Agile,Application development,WCF,MVC,SSIS,Information technology",PREMIUM
Information Technology,Azure Solution Architect Expert,Novartis Healthcare Pvt. Ltd.,7-12 Yrs,Not disclosed,Hyderabad," Job Description Contribute to the development of architectural standards, and the direc...","Solution architecture,Network design,Networking,Data management,Active directory,System design,Information technology,VMS",PREMIUM
Information Technology,Senior Java Developer,Rectras Business Solutions Pvt Ltd.,5-10 Yrs,Not disclosed,"Chennai, Hyderabad", We are looking for Java professionals with extensive experience in Java Web services AP...,"Core Java,Front end,Networking,XML,Debugging,Agile,CMMI,JSON",5 Days Ago
Information Technology,NIT / IIT Freshers For Trainee - Software Engineer Immediate Position,S2TECH.COM INDIA PVT LTD,0-1 Yrs,"3,50,000 PA.",Hyderabad, Candidates with 70% throughout the academics only from NIT / IIT or Premium colleges ca...,"Design,information technology engineering,Coding,Software Engineering,it engineering",HOT JOB
Information Technology,Software Engineer (Fresher),Medinovix,0-0 Yrs,Not disclosed,Hyderabad, Description The skills required as a graduate/trainee in IT will vary depending on your...,"Computer science,information system,System management,Database management,Management systems,Time management,Programming,Equity",30+ Days Ago
Information Technology,Software Engineer,Lincoln Tech,0-1 Yrs,Not disclosed,"Visakhapatnam, Hyderabad"," The skills required as a graduatetrainee in IT will vary depending on your chosen area,...","Computer science,information system,System management,Database management,Management systems,Time management,Programming,Equity",30+ Days Ago
Information Technology,Software Developer,Edification Technologies,0-2 Yrs,"1,00,000 - 1,75,000 PA.","Delhi NCR, Bengaluru, Hyderabad"," This is a remote position, and the candidate(s) need to have a personal laptop with goo...","Angularjs,it development,software development,information technology development,Ionic Framework,web technologies,Javascript,Node.Js",16 Days Ago
Information Technology,"NETWORK ENGINEERS, CUSTOMER SUPPORT ENGINEERS",Comint Systems and Solutions Pvt Ltd,1-2 Yrs,Not disclosed,Hyderabad," Customer Support / Network Engineers ( 2 Positions), Experience 0 -1 years SKILLS: B.Te...","Telecom,Networking,Business expansion,Electronics,Network security,Instrumentation,Support services,Customer support",30+ Days Ago
Information Technology,Business Process Expert,Novartis Healthcare Pvt. Ltd.,12-15 Yrs,Not disclosed,Hyderabad," Job Description Design End User Service Model, Interaction & Visual Design Build an int...","Business process,Change management,ISO,SEPA,Project management,XML,Risk management,Stakeholder management",9 Days Ago
Information Technology,Systems Support Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,2-6 Yrs,Not disclosed,Hyderabad, About the Role Responsible for troubleshooting of RPA Bots to maintain the automation i...,"Automation,Service level,Technical analysis,Production support,Manager Technology,ITIL process,Troubleshooting,Information technology",10 Days Ago
Information Technology,DLP Lead - Information Security/ Cyber Security,TalPro,7-12 Yrs,Not disclosed,Hyderabad, Experience in building and maintaining a high performance team of analysts Proficient i...,"Cyber Security,Linux,Information Security,Security Architect,Dlp,Data Security,Security,Information Technology",HOT JOB
Information Technology,Service Operations Manager,Novartis Healthcare Pvt. Ltd.,15-18 Yrs,Not disclosed,Hyderabad, Job Description We have over 350000 User support requests. Improving Customer Satisfact...,"Business process,Business services,Service level,Customer satisfaction,project governance,Process excellence,Data analytics,Information technology",1 Day Ago
Information Technology,PV Lead Global Safety Database & Associated Systems,Dr. Reddys Laboratories Ltd.,7-10 Yrs,Not disclosed,Hyderabad, Job Description : PV Lead for Global Safety Database & Associated Systems will ensure f...,"Claims,Front end,Data management,Pharma,Clinical trials,Healthcare,data privacy,Pharmacovigilance",2 Days Ago
Information Technology,Technical Operations Expert - AWS,Novartis Healthcare Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad, Job Description Position Purpose: Manage operations of Cloud platforms and services in ...,"Patch management,Computer science,Coding,Access management,Problem management,AWS,Information technology,Release management",2 Days Ago
