search_criteria,course_name,course_description,rating,no_of_reviews,duration,lectures,levels,badge,original_price,discounted_price
photography,Cinematography Course: Shoot Expert Video on Any Camera,Your Online Guide to Professional Cinematography. Learn to Shoot Stunning Video Like a Professional With Any Camera.,4.5,2163.0,1.5,32.0,All Levels,,4800.0,462.0
photography,Photography Masterclass: A Complete Guide to Photography,,4.6,38070.0,,,,,12800.0,455.0
photography,Premiere Pro CC for Beginners: Video Editing in Premiere,,4.6,21711.0,,,,,6400.0,455.0
photography,Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,,4.4,5982.0,,,,,12800.0,455.0
photography,Photography - Become a Better Photographer - Part I,,4.5,1633.0,,,,,2240.0,455.0
photography,Video Editing in DaVinci Resolve 16: Beginner to Advanced,Learn Video Editing in DaVinci Resolve 16 with  Color Correction & Color Grading & Visual Effects in DaVinci Resolve 16,4.6,2124.0,10.5,198.0,All Levels,,12800.0,618.0
photography,The Complete Final Cut Pro X Course Beginner To Intermediate,In this complete course students will learn how to edit their videos using Final Cut Pro X from beginner to intermediate,4.4,1894.0,4.5,47.0,All Levels,,12800.0,468.0
photography,Adobe Premiere Pro CC 2020: Video Editing for Beginners,Learn how to edit amazing videos in Adobe Premiere Pro CC 2020 with zero experience.,4.5,1881.0,5.5,51.0,All Levels,,6400.0,514.0
photography,Photography - Become a Better Photographer - Part I,"See results today! 50 photography tips for taking amazing photos with your DSLR, Mirrorless or compact camera.",4.5,1633.0,5.5,53.0,All Levels,,2240.0,455.0
photography,Learn Landscape Photography,Get inspired | Learn more | Go places,4.3,1538.0,1.0,12.0,Intermediate,,1280.0,455.0
photography,Wedding Photography: Complete Guide to Wedding Photography,"Learn exactly how to become a wedding photographer, start a photo business of your own, and shoot better wedding photos.",4.5,1527.0,5.0,87.0,All Levels,,12800.0,468.0
photography,VIDEO CINEMATOGRAPHY techniques loved by pro filmmakers,Creative video. Learn what pro broadcast camera ops do to grab and excite an audience. Taught by a pro broadcaster,4.4,1500.0,3.5,43.0,Beginner,,6400.0,455.0
photography,Night Photography: You Can Shoot Stunning Night Photos,You will shoot amazing night photos that impress your family and friends with this complete night photography course!,4.4,1460.0,2.0,27.0,All Levels,,6400.0,455.0
photography,GIMP 2.10 Masterclass: From Beginner to Pro Photo Editing,GIMP 2.10 Complete Guide - Learn the Free Photo Editor GIMP. Go From a Beginner to Pro in Photo Editing & Graphic Design,4.5,1392.0,30.5,250.0,All Levels,,4800.0,455.0
photography,Long Exposure Photography: Shoot Your Own Stunning Photos,A quick start long exposure tutorial that will get you shooting beautiful photographs with your DSLR and iPhone cameras.,4.5,1391.0,1.0,15.0,Intermediate,,6400.0,514.0
photography,Adobe Lightroom CC + Classic // Learn Photo Editing by Pro,Lightroom - Learn all my Lightroom CC Classic secrets & photo editing techniques.  Get organized & make your images pop!,4.5,1335.0,12.0,151.0,All Levels,,12800.0,514.0
photography,Street Photography: How I approach people on the streets...,"Learn how to get over your fear, how to approach people and how to improve the creativity and quality of your photos.",4.5,1307.0,9.5,48.0,All Levels,,3200.0,455.0
photography,Complete Photography : 21 Courses in 1 [Beginner to Expert],"Learn Portrait Photography, Landscape Photography, Stock Photography, Photography Composition, Black and White, and more",4.2,1279.0,8.5,136.0,All Levels,,12800.0,481.0
photography,Phantom & Mavic Filmschool 1- master autopilot with Litchi,Use autopilot to get amazing cinematic shots with your drone. You will master the Litchi app & take pro footage!,4.6,1249.0,6.0,56.0,All Levels,,1920.0,455.0
photography,Outstanding Composition: How to blow away your audience,Learn how to impress your followers with perfectly composed photographs which stand out in the crowd on every platform.,4.2,1212.0,5.0,32.0,All Levels,,3200.0,462.0
photography,Photography Composition & Portrait Photography Masterclass,Studio Photography Lighting / Street Photography / Creative Photography / DSLR Photography / Black & White Photography,4.3,1209.0,11.5,139.0,Beginner,,12800.0,462.0
music,Pianoforall - Incredible New Way To Learn Piano & Keyboard,,4.6,32445.0,,,,,12800.0,455.0
music,Complete Guitar System - Beginner to Advanced,,4.5,23155.0,,,,,12800.0,455.0
music,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)",,4.6,13031.0,,,,,4800.0,514.0
music,Play Ukulele Now,,4.6,302.0,,,,,2240.0,455.0
music,Pianoforall - Incredible New Way To Learn Piano & Keyboard,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",4.6,32445.0,30.0,362.0,All Levels,,12800.0,455.0
music,Complete Guitar System - Beginner to Advanced,All-in-one Guitar Course With a Proven Step-by-step Learning System.,4.5,23148.0,40.5,341.0,All Levels,,12800.0,455.0
music,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)","A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",4.6,13031.0,12.5,155.0,Beginner,,4800.0,514.0
music,Music + Audio Production in Logic Pro X - The Complete Guide,"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",4.5,9619.0,40.0,183.0,All Levels,,12800.0,455.0
music,Music Production in Logic Pro X - The Complete Course!,"Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X",4.6,6965.0,50.5,458.0,All Levels,,12480.0,468.0
music,"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",4.6,5754.0,12.5,124.0,Beginner,,7680.0,462.0
music,The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,4.5,4968.0,9.5,136.0,All Levels,,12800.0,533.0
music,"Learn to play HARMONICA, the easiest instrument to pick up!","Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",4.5,4712.0,23.5,242.0,All Levels,,12800.0,455.0
music,BECOME A GREAT SINGER: Your Complete Vocal Training System,"Immediately Improve Your Singing. (Any Level, Any Style)",4.2,4394.0,23.0,182.0,All Levels,,12800.0,526.0
music,Ultimate Beginner Guitar Masterclass (2020 Update),Beginner guitar lessons. Go from knowing nothing about the guitar and learn to play songs everbody loves in just weeks,4.6,4353.0,12.5,124.0,Beginner,,12800.0,455.0
